sentence	label
정교회 [SEP] 대주교 [SEP] 콥트 정교회 교황 요셉 2세가 최초의 에티오피아인 출신 대주교로 임명한 아부나 바실리오스는 에티오피아 테와히도 정교회의 초대 총대주교가 되었다.	10
신대왕 [SEP] 고국천왕 [SEP] 신대왕의 맏아들 발기(拔奇)가 불초하였기 때문에 둘째 아들인 남무가 대신들의 추대를 받아 즉위하였다고 한다. 고국천왕은 키가 9척(尺)이고 겉모습이 크고 위엄있었다고 한다.	21
맬컴 [SEP] 암살자 [SEP] 맬컴이 쓰러지자 두 명의 암살자가 더 나타나 반자동 권총으로 맬컴에게 16 발을 쏘았다.	0
호남대학교 [SEP] 전남 [SEP] 호남대학교 중국유학생 농구팀은 2014년 창단 이래 광주 전남지역 농구경기대회에서 뛰어난 경기력을 발휘하며 우수한 성적을 거뒀다.	16
락앤락몰 [SEP] 5만원 이상 [SEP] 한편 플레이스엘엘 서초점에서는 5만원 이상 구매하면 무료로 배송해주고, 매장에 없는 제품은 온라인 자사몰인 락앤락몰과 연계 구매할 수 있도록 해 소비자 편의를 높였다.	0
순천시 [SEP] 21개 [SEP] 유니세프 아동친화도시로서 아이키우기 좋은 도시를 표방하고 있는 순천시에서는 안전한 보육환경 조성과 보육교직원 복지향상을 위해 관내 221개 어린이집에 안전공제회 보험료를 전액 지원한다고 밝혔다.	0
이재용 [SEP] 삼성 [SEP] 삼성의 결정에 지난 3일 이재용 부회장의 발언이 주목받았다.	0
조선민주주의인민공화국 [SEP] 일제강점기 [SEP] 일제강점기 당시 일본이 만들어 놓은 대규모 공업단지가 폭격으로 인해 완전히 소실되었으며 한국 전쟁 직전까지 대한민국보다 공업이 발전한 선진국이였던 조선민주주의인민공화국은 이러한 피해, 이후 족벌독재, 군사력 증강에만 집중하게 되어 1970년대에는 경제가 역전되어 대한민국보다 후진국이 되었다.	0
EBS [SEP] 교육감 [SEP] 광주시교육청(교육감 장휘국)이 EBS와 공동주관으로 18일 오후 4시 광주학생운동독립기념회관에서 '2023학년도 대입 예비 고1 EBS 광주 지역 입시설명회'를 개최한다.	0
앤드루 딕슨 화이트 [SEP] 의원 [SEP] 앤드루 딕슨 화이트 의원은 첫 번째 코넬대 총장이 되었다.	2
나치 독일 [SEP] 베를린 [SEP] 총력전 연설(總力戰演說) 또는 스포츠 궁전 연설은 1943년 2월 18일 나치 독일의 선전부 장관이던 파울 요제프 괴벨스가 베를린 슈포르트팔라스트(Sportpalast, 스포츠 궁전)에서 행한 연설이다.	23
류큐국 [SEP] 1429년 [SEP] 류큐국은 1429년, 제2대 쇼하시 왕의 삼산통일(三山統一)에 의해 건국되었다.	33
미키 스미스 [SEP] 노엘 클라크 [SEP] 하지만 갑작스럽게 결정한 일이었기 때문에 로즈가 자리를 비운 12개월 동안, 엄마 재키 타일러 (카밀 코두리)와 남자친구 미키 스미스 (노엘 클라크)는 로즈가 실종된 줄 알고 근심을 거듭하는 해프닝도 일어난다.	24
김기창 [SEP] 동양화 [SEP] 1964년 미국 국무성의 초청으로 남편인 동양화가 김기창(金基昶)과 함께 미국으로 건너간 바 있고, 국내·국외에서 여러 차례의 개인전 및 부부전(夫婦展)을 가졌다.	2
경남대학교 [SEP] 박재규 [SEP] 경남대학교(총장 박재규)는 15일 오후 본관 국제세미나실에서 고성군(군수 백두현)과 함께 해양치유산업 활성화 및 체류형 해양레포츠 단지 조성 사업 추진을 위한 업무협약을 체결했다.	10
뉴트 스캐맨더 [SEP] 에디 레드메인 [SEP] 2015년 6월 1일, 에디 레드메인이 세계적으로 저명한 동물마법학자 '뉴트 스캐맨더' 역할에, 캐서린 워터스턴이 '티나'(포펜티나) 역할에 최종 캐스팅 된 것이 발표되었다.	0
교황 레오 4세 [SEP] 베네딕토 3세 [SEP] 여교황 요안나는 8세기의 중세 유럽에서 교황 레오 4세와 교황 베네딕토 3세 사이에 재위했다고 여겨지는 전설상의 여자 교황이다.	0
후쿠오카 방송 [SEP] FBS [SEP] 방송국 개국 이래 일본의 니혼 TV(NTV)와 제휴 관계이며, 니혼TV 계열의 후쿠오카 방송(FBS)등에서 특파원을 받아들이고 있다.	6
빈라덴 [SEP] 미국 [SEP] 그러나 미국의 침공 이래 5년이 지나도록 미군은 빈라덴을 잡지 못했으며 오마르는 2006년말까지도 건재한 채 오히려 남부에서 탈레반을 재규합하고 있었다.	0
해남군 [SEP] 올해 [SEP] 해남군은 올해 지방도 7개 구간과 군도 12개소, 농어촌도로 20개소에 대한 도로 정비를 실시한다.	0
요미우리 자이언츠 [SEP] 센트럴 리그 [SEP] 특히 이 시리즈에서는 정규 시즌에 있어서 리그 우승 팀끼리의 맞대결이 2년 만에 성사됐으며(전년도 일본 시리즈에서는 센트럴 리그 대표가 정규 시즌 우승팀이 요미우리 자이언츠가 아닌 센트럴 리그 클라이맥스 시리즈에서 우승한 정규 시즌 2위팀이었던 한신 타이거스), 소프트뱅크와 야쿠르트로서는 일본 시리즈에서의 첫 맞대결이었다.	15
민주당 [SEP] 민주국민당 [SEP] 1949년까지 그는 한국민주당을 이끌어 오다가 2월 10일 한민당이 신익희의 대한국민회와 통합하여 민주국민당(제2공화국 집권여당 민주당 (대한민국, 1955)(대한민국, 1955)의 전신)을 창당하고 민주국민당 최고위원에 취임하였다.	6
루돌프 클라우지우스 [SEP] 물리학 [SEP] 독일의 물리학자 루돌프 클라우지우스가 1850년대 초에 도입하였다.	2
국가균형발전위원회 [SEP] 대통령직속 [SEP] 충주시는 대통령직속 국가균형발전위원회가 주관하는 2020년도 생활SOC 복합화사업에 교현동 공설운동장 내 ‘복합체육센터 건립 사업’이 최종 선정돼 국비 71억원을 확보했다고 7일 밝혔다.	15
신원식 [SEP] 합동참모본부 [SEP] 한국당은 기존 1, 2번 순위를 받았던 조수진 전 동아일보 논설위원은 5번으로, 신원식 전 합동참모본부 차장은 8번으로 각각 밀렸다.	0
밀란 쿤데라 [SEP] 소설가 [SEP] 2부 행사에서는 밀란 쿤데라의 ‘참을 수 없는 존재의 가벼움’과 베토벤 음악을 주제로 소설가 이화경과 함께하는 북토크를 진행한다.	0
국민의당 [SEP] 안철수 [SEP] 여기에 안철수 의원이 총선 직전에 창당한 국민의당이 세간의 예상을 뛰어넘는 38석을 얻는 기염을 토해, 제15대 국회 이후 처음으로 3개 교섭단체가 있는 다당제 국회로 출범하게 되었다.	12
자유민주연합 [SEP] 한나라당 [SEP] 하지만 이후 탄핵을 주도했던 새천년민주당과 한나라당, 자유민주연합은 여론의 역풍에 휩싸여 제17대 총선에서 참패하였고 얼마 후 헌법재판소에서 소추안을 기각하며 노무현은 다시 대통령 직무에 복귀하였다.	0
송기인 [SEP] 천주교 [SEP] 천주교 종교의식이 진행될 때에는 노무현의 평생 멘토로 불렸던 송기인 신부가 의식을 집전하였다.	34
전현희 [SEP] 더불어민주당 [SEP] 전현희의원이 더불어민주당 택시·카풀 태스크포스(TF) 위원장이라는 중책을 맡아, 사회적 대타협을 이끌어내 그의 정치력과 인내심등을 대중에게 톡톡히 각인 시켰다.	4
박근혜 [SEP] 자유한국당 [SEP] 박근혜-최순실 게이트 당시 박근혜를 탄핵하는 문제를 놓고 친박과 비박 양 계파 간 갈등이 빚어진 끝에 새누리당은 친박 중심 탄핵 반대파인 자유한국당과 비박 중심 탄핵 찬성파인 바른정당으로 갈라졌다.	4
"정의당 [SEP] 노회찬 [SEP] 이정미 대표는 ""노회찬의 정신은 정의당의 정신이 될 것이다"" 라며 당의 미래를 결의했고 심상정 의원은 ""노회찬 나의 사랑하는 동지, 영원한 동지여"" 라고 부르짖으며 오열하였다."	10
오거돈 [SEP] 부산 [SEP] 한편, 오늘 방송 중 실시간 댓글로는 “부산사투리 정감있네요”, “재밌네요, 오거돈 시장님” 등 대체로 긍정적 반응이 많았으며 김어준 공장장의 탈모지적에 대해 “머리는 공격하지마”, “탈모인들 화낸다” 등 재미있는 반응들도 있었다.	0
존 타일러 [SEP] 휘그당 [SEP] 그러나 해리슨은 취임한 지 한 달도 채 지나기 전에 죽었고, 그의 후임자인 부통령 존 타일러는 미국은행 재설립을 비롯한 휘그당의 주요입법에 대해 거부권을 행사하기 시작했다.	0
남부대학교 [SEP] 조성수 [SEP] 남부대학교(총장 조성수)는 10일 교육부와 한국교육개발원이 공개한 ‘고등교육기관 졸업자 취업통계조사’에서 취업률 72.5%로 광주지역 일반대학교 중 가장 높은 취업률을 달성했다.	10
이용대 [SEP] 배드민턴 [SEP] 3학년이던 지난 2017년 한국 복싱 사상 최초로 세계 여자유스 복싱선수권대회에서 금메달을 따 ‘배드민턴은 이용대, 복싱은 임애지’란 수식이 붙기도 했다.	0
